symbol,sector,correlation_cluster
AAPL,TECHNOLOGY,US_MEGA_TECH
MSFT,TECHNOLOGY,US_MEGA_TECH
NVDA,SEMICONDUCTORS,GLOBAL_SEMICONDUCTORS
AMZN,CONSUMER_DISCRETIONARY,US_MEGA_TECH
GOOGL,COMMUNICATION_SERVICES,US_MEGA_TECH
META,COMMUNICATION_SERVICES,US_MEGA_TECH
TSLA,AUTOMOTIVE,GLOBAL_AUTOMOTIVE
JPM,FINANCIALS,US_BANKS
V,FINANCIALS,PAYMENT_NETWORKS
MA,FINANCIALS,PAYMENT_NETWORKS
XOM,ENERGY,GLOBAL_ENERGY
UNH,HEALTHCARE,US_HEALTHCARE
JNJ,HEALTHCARE,US_HEALTHCARE
WMT,CONSUMER_STAPLES,US_DEFENSIVE_CONSUMER
PG,CONSUMER_STAPLES,US_DEFENSIVE_CONSUMER
AVGO,SEMICONDUCTORS,GLOBAL_SEMICONDUCTORS
HD,CONSUMER_DISCRETIONARY,US_CONSUMER
COST,CONSUMER_STAPLES,US_DEFENSIVE_CONSUMER
BAC,FINANCIALS,US_BANKS
KO,CONSUMER_STAPLES,GLOBAL_BEVERAGES
PEP,CONSUMER_STAPLES,GLOBAL_BEVERAGES
CRM,TECHNOLOGY,US_SOFTWARE
NFLX,COMMUNICATION_SERVICES,US_MEDIA
AMD,SEMICONDUCTORS,GLOBAL_SEMICONDUCTORS
ORCL,TECHNOLOGY,US_SOFTWARE
CSCO,TECHNOLOGY,US_TECH_HARDWARE
ADBE,TECHNOLOGY,US_SOFTWARE
TMO,HEALTHCARE,US_HEALTHCARE
MCD,CONSUMER_DISCRETIONARY,US_CONSUMER
ABT,HEALTHCARE,US_HEALTHCARE
DIS,COMMUNICATION_SERVICES,US_MEDIA
GE,INDUSTRIALS,GLOBAL_INDUSTRIALS
CAT,INDUSTRIALS,GLOBAL_INDUSTRIALS
IBM,TECHNOLOGY,US_TECH_HARDWARE
GS,FINANCIALS,US_CAPITAL_MARKETS
MS,FINANCIALS,US_CAPITAL_MARKETS
NKE,CONSUMER_DISCRETIONARY,US_CONSUMER
QCOM,SEMICONDUCTORS,GLOBAL_SEMICONDUCTORS
TXN,SEMICONDUCTORS,GLOBAL_SEMICONDUCTORS
AMAT,SEMICONDUCTORS,SEMICONDUCTOR_EQUIPMENT
INTU,TECHNOLOGY,US_SOFTWARE
ISRG,HEALTHCARE,US_HEALTHCARE
AMGN,HEALTHCARE,US_BIOTECH
GILD,HEALTHCARE,US_BIOTECH
SBUX,CONSUMER_DISCRETIONARY,US_CONSUMER
UBER,INDUSTRIALS,US_MOBILITY
F,AUTOMOTIVE,GLOBAL_AUTOMOTIVE
GM,AUTOMOTIVE,GLOBAL_AUTOMOTIVE
BA,INDUSTRIALS,GLOBAL_AEROSPACE
PLTR,TECHNOLOGY,US_SOFTWARE
ASML.AS,SEMICONDUCTORS,SEMICONDUCTOR_EQUIPMENT
ASM.AS,SEMICONDUCTORS,SEMICONDUCTOR_EQUIPMENT
BESI.AS,SEMICONDUCTORS,SEMICONDUCTOR_EQUIPMENT
INGA.AS,FINANCIALS,EU_BANKS
PHIA.AS,HEALTHCARE,EU_HEALTHCARE
ADYEN.AS,FINANCIALS,PAYMENT_NETWORKS
AD.AS,CONSUMER_STAPLES,EU_DEFENSIVE_CONSUMER
HEIA.AS,CONSUMER_STAPLES,GLOBAL_BEVERAGES
UNA.AS,CONSUMER_STAPLES,EU_DEFENSIVE_CONSUMER
PRX.AS,CONSUMER_DISCRETIONARY,GLOBAL_INTERNET
NN.AS,FINANCIALS,EU_INSURANCE
ABN.AS,FINANCIALS,EU_BANKS
AGN.AS,FINANCIALS,EU_INSURANCE
AKZA.AS,MATERIALS,EU_CHEMICALS
MT.AS,MATERIALS,GLOBAL_METALS
RAND.AS,INDUSTRIALS,EU_BUSINESS_SERVICES
KPN.AS,COMMUNICATION_SERVICES,EU_TELECOM
WKL.AS,INDUSTRIALS,EU_BUSINESS_SERVICES
IMCD.AS,MATERIALS,EU_CHEMICALS
EXO.AS,FINANCIALS,EU_HOLDING_COMPANIES
AMG.AS,MATERIALS,GLOBAL_METALS
LIGHT.AS,INDUSTRIALS,EU_ELECTRICALS
AALB.AS,INDUSTRIALS,EU_INDUSTRIALS
BFIT.AS,CONSUMER_DISCRETIONARY,EU_CONSUMER
VPK.AS,ENERGY,GLOBAL_ENERGY
SAP.DE,TECHNOLOGY,EU_SOFTWARE
SIE.DE,INDUSTRIALS,EU_INDUSTRIALS
ALV.DE,FINANCIALS,EU_INSURANCE
DTE.DE,COMMUNICATION_SERVICES,EU_TELECOM
MUV2.DE,FINANCIALS,EU_INSURANCE
MBG.DE,AUTOMOTIVE,GLOBAL_AUTOMOTIVE
BMW.DE,AUTOMOTIVE,GLOBAL_AUTOMOTIVE
BAS.DE,MATERIALS,EU_CHEMICALS
BAYN.DE,HEALTHCARE,EU_HEALTHCARE
DBK.DE,FINANCIALS,EU_BANKS
