2026-07-02 20:28:01 | INFO     | Orion | Logging initialized
2026-07-02 20:30:51 | INFO     | TradingPipeline | Starting pipeline for TSLA
2026-07-02 20:30:51 | INFO     | TradingPipeline | Signal Fusion completed | pressure=0.704
2026-07-02 20:30:51 | INFO     | TradingPipeline | Market Intelligence | regime=BULL volatility=LOW risk=0.0040
2026-07-02 20:30:51 | INFO     | TradingPipeline | Decision | BUY confidence=0.804
2026-07-02 20:30:51 | INFO     | TradingPipeline | Pipeline completed for TSLA | BUY | confidence=0.804 | position=701.87
2026-07-02 20:33:01 | INFO     | TradingPipeline | Starting pipeline for TSLA
2026-07-02 20:33:01 | INFO     | TradingPipeline | Signal Fusion completed | pressure=0.704
2026-07-02 20:33:01 | INFO     | TradingPipeline | Market Intelligence | regime=BULL volatility=LOW risk=0.0040
2026-07-02 20:33:01 | INFO     | TradingPipeline | Decision | BUY confidence=0.804
2026-07-02 20:33:01 | INFO     | TradingPipeline | Pipeline completed for TSLA | BUY | confidence=0.804 | position=701.87
2026-07-02 20:35:53 | INFO     | AIMarketScanner | Starting market scan (3 symbols)
2026-07-02 20:35:53 | INFO     | AIMarketScanner | Scanning MSFT
2026-07-02 20:35:53 | INFO     | IndicatorBuilder | Building indicators for MSFT
2026-07-02 20:35:53 | INFO     | IndicatorBuilder | Indicators ready for MSFT | RSI=50.34 Trend=0.960 Momentum=41.37 Volatility=0.02456
2026-07-02 20:35:53 | INFO     | TradingPipeline | Starting pipeline for MSFT
2026-07-02 20:35:53 | INFO     | TradingPipeline | Signal Fusion completed | pressure=0.738
2026-07-02 20:35:53 | INFO     | TradingPipeline | Market Intelligence | regime=BULL volatility=LOW risk=0.0005
2026-07-02 20:35:53 | INFO     | TradingPipeline | Decision | BUY confidence=0.838
2026-07-02 20:35:53 | INFO     | TradingPipeline | Pipeline completed for MSFT | BUY | confidence=0.838 | position=738.08
2026-07-02 20:35:53 | INFO     | AIMarketScanner | MSFT complete | BUY | confidence=0.838
2026-07-02 20:35:53 | INFO     | AIMarketScanner | Scanning NVDA
2026-07-02 20:35:54 | INFO     | IndicatorBuilder | Building indicators for NVDA
2026-07-02 20:35:54 | INFO     | IndicatorBuilder | Indicators ready for NVDA | RSI=39.49 Trend=0.924 Momentum=38.54 Volatility=0.02574
2026-07-02 20:35:54 | INFO     | TradingPipeline | Starting pipeline for NVDA
2026-07-02 20:35:54 | INFO     | TradingPipeline | Signal Fusion completed | pressure=0.695
2026-07-02 20:35:54 | INFO     | TradingPipeline | Market Intelligence | regime=BULL volatility=LOW risk=0.0005
2026-07-02 20:35:54 | INFO     | TradingPipeline | Decision | BUY confidence=0.795
2026-07-02 20:35:54 | INFO     | TradingPipeline | Pipeline completed for NVDA | BUY | confidence=0.795 | position=694.54
2026-07-02 20:35:54 | INFO     | AIMarketScanner | NVDA complete | BUY | confidence=0.795
2026-07-02 20:35:54 | INFO     | AIMarketScanner | Scanning AAPL
2026-07-02 20:35:54 | INFO     | IndicatorBuilder | Building indicators for AAPL
2026-07-02 20:35:54 | INFO     | IndicatorBuilder | Indicators ready for AAPL | RSI=57.61 Trend=1.000 Momentum=48.76 Volatility=0.02378
2026-07-02 20:35:54 | INFO     | TradingPipeline | Starting pipeline for AAPL
2026-07-02 20:35:54 | INFO     | TradingPipeline | Signal Fusion completed | pressure=0.787
2026-07-02 20:35:54 | INFO     | TradingPipeline | Market Intelligence | regime=BULL volatility=LOW risk=0.0005
2026-07-02 20:35:54 | INFO     | TradingPipeline | Decision | BUY confidence=0.887
2026-07-02 20:35:54 | INFO     | TradingPipeline | Pipeline completed for AAPL | BUY | confidence=0.887 | position=786.91
2026-07-02 20:35:54 | INFO     | AIMarketScanner | AAPL complete | BUY | confidence=0.887
2026-07-02 20:35:54 | INFO     | AIMarketScanner | Market scan completed | requested=3 scanned=3 failed=0
2026-07-02 20:37:30 | INFO     | ApplicationController | User requested analysis for MSFT
2026-07-02 20:37:31 | INFO     | IndicatorBuilder | Building indicators for MSFT
2026-07-02 20:37:31 | INFO     | IndicatorBuilder | Indicators ready for MSFT | RSI=50.35 Trend=0.961 Momentum=41.38 Volatility=0.02456
2026-07-02 20:37:31 | INFO     | TradingPipeline | Starting pipeline for MSFT
2026-07-02 20:37:31 | INFO     | TradingPipeline | Signal Fusion completed | pressure=0.738
2026-07-02 20:37:31 | INFO     | TradingPipeline | Market Intelligence | regime=BULL volatility=LOW risk=0.0005
2026-07-02 20:37:31 | INFO     | TradingPipeline | Decision | BUY confidence=0.838
2026-07-02 20:37:31 | INFO     | TradingPipeline | Pipeline completed for MSFT | BUY | confidence=0.838 | position=22.14
2026-07-02 20:37:31 | INFO     | ApplicationController | Analysis completed | MSFT | BUY | confidence=0.838
2026-07-02 20:37:41 | INFO     | ApplicationController | User started AI market scan
2026-07-02 20:37:41 | INFO     | AIMarketScanner | Starting market scan (5 symbols)
2026-07-02 20:37:41 | INFO     | AIMarketScanner | Scanning MSFT
2026-07-02 20:37:41 | INFO     | IndicatorBuilder | Building indicators for MSFT
2026-07-02 20:37:41 | INFO     | IndicatorBuilder | Indicators ready for MSFT | RSI=50.34 Trend=0.961 Momentum=41.38 Volatility=0.02456
2026-07-02 20:37:41 | INFO     | TradingPipeline | Starting pipeline for MSFT
2026-07-02 20:37:41 | INFO     | TradingPipeline | Signal Fusion completed | pressure=0.738
2026-07-02 20:37:41 | INFO     | TradingPipeline | Market Intelligence | regime=BULL volatility=LOW risk=0.0005
2026-07-02 20:37:41 | INFO     | TradingPipeline | Decision | BUY confidence=0.838
2026-07-02 20:37:41 | INFO     | TradingPipeline | Pipeline completed for MSFT | BUY | confidence=0.838 | position=22.14
2026-07-02 20:37:41 | INFO     | AIMarketScanner | MSFT complete | BUY | confidence=0.838
2026-07-02 20:37:41 | INFO     | AIMarketScanner | Scanning NVDA
2026-07-02 20:37:41 | INFO     | IndicatorBuilder | Building indicators for NVDA
2026-07-02 20:37:41 | INFO     | IndicatorBuilder | Indicators ready for NVDA | RSI=39.42 Trend=0.923 Momentum=38.49 Volatility=0.02576
2026-07-02 20:37:41 | INFO     | TradingPipeline | Starting pipeline for NVDA
2026-07-02 20:37:41 | INFO     | TradingPipeline | Signal Fusion completed | pressure=0.694
2026-07-02 20:37:41 | INFO     | TradingPipeline | Market Intelligence | regime=BULL volatility=LOW risk=0.0005
2026-07-02 20:37:41 | INFO     | TradingPipeline | Decision | BUY confidence=0.794
2026-07-02 20:37:41 | INFO     | TradingPipeline | Pipeline completed for NVDA | BUY | confidence=0.794 | position=20.82
2026-07-02 20:37:41 | INFO     | AIMarketScanner | NVDA complete | BUY | confidence=0.794
2026-07-02 20:37:41 | INFO     | AIMarketScanner | Scanning AAPL
2026-07-02 20:37:41 | INFO     | IndicatorBuilder | Building indicators for AAPL
2026-07-02 20:37:41 | INFO     | IndicatorBuilder | Indicators ready for AAPL | RSI=57.76 Trend=1.000 Momentum=48.84 Volatility=0.02387
2026-07-02 20:37:41 | INFO     | TradingPipeline | Starting pipeline for AAPL
2026-07-02 20:37:41 | INFO     | TradingPipeline | Signal Fusion completed | pressure=0.788
2026-07-02 20:37:41 | INFO     | TradingPipeline | Market Intelligence | regime=BULL volatility=LOW risk=0.0005
2026-07-02 20:37:41 | INFO     | TradingPipeline | Decision | BUY confidence=0.888
2026-07-02 20:37:41 | INFO     | TradingPipeline | Pipeline completed for AAPL | BUY | confidence=0.888 | position=23.62
2026-07-02 20:37:41 | INFO     | AIMarketScanner | AAPL complete | BUY | confidence=0.888
2026-07-02 20:37:41 | INFO     | AIMarketScanner | Scanning TSLA
2026-07-02 20:37:41 | INFO     | IndicatorBuilder | Building indicators for TSLA
2026-07-02 20:37:41 | INFO     | IndicatorBuilder | Indicators ready for TSLA | RSI=47.72 Trend=0.965 Momentum=43.77 Volatility=0.03953
2026-07-02 20:37:41 | INFO     | TradingPipeline | Starting pipeline for TSLA
2026-07-02 20:37:41 | INFO     | TradingPipeline | Signal Fusion completed | pressure=0.741
2026-07-02 20:37:41 | INFO     | TradingPipeline | Market Intelligence | regime=BULL volatility=LOW risk=0.0008
2026-07-02 20:37:41 | INFO     | TradingPipeline | Decision | BUY confidence=0.841
2026-07-02 20:37:41 | INFO     | TradingPipeline | Pipeline completed for TSLA | BUY | confidence=0.841 | position=22.22
2026-07-02 20:37:41 | INFO     | AIMarketScanner | TSLA complete | BUY | confidence=0.841
2026-07-02 20:37:41 | INFO     | AIMarketScanner | Scanning AMZN
2026-07-02 20:37:42 | INFO     | IndicatorBuilder | Building indicators for AMZN
2026-07-02 20:37:42 | INFO     | IndicatorBuilder | Indicators ready for AMZN | RSI=51.94 Trend=0.956 Momentum=46.18 Volatility=0.02345
2026-07-02 20:37:42 | INFO     | TradingPipeline | Starting pipeline for AMZN
2026-07-02 20:37:42 | INFO     | TradingPipeline | Signal Fusion completed | pressure=0.752
2026-07-02 20:37:42 | INFO     | TradingPipeline | Market Intelligence | regime=BULL volatility=LOW risk=0.0005
2026-07-02 20:37:42 | INFO     | TradingPipeline | Decision | BUY confidence=0.852
2026-07-02 20:37:42 | INFO     | TradingPipeline | Pipeline completed for AMZN | BUY | confidence=0.852 | position=22.54
2026-07-02 20:37:42 | INFO     | AIMarketScanner | AMZN complete | BUY | confidence=0.852
2026-07-02 20:37:42 | INFO     | AIMarketScanner | Market scan completed | requested=5 scanned=5 failed=0
2026-07-02 20:37:42 | INFO     | ApplicationController | AI market scan completed | requested=5 scanned=5 failed=0
2026-07-02 20:40:54 | INFO     | ApplicationController | User requested analysis for MSFT
2026-07-02 20:40:54 | INFO     | YahooProvider | Downloading history for MSFT (period=6mo interval=1d)
2026-07-02 20:40:55 | INFO     | YahooProvider | 125 candles downloaded for MSFT
2026-07-02 20:40:55 | INFO     | IndicatorBuilder | Building indicators for MSFT
2026-07-02 20:40:55 | INFO     | IndicatorBuilder | Indicators ready for MSFT | RSI=50.43 Trend=0.961 Momentum=41.43 Volatility=0.02459
2026-07-02 20:40:55 | INFO     | TradingPipeline | Starting pipeline for MSFT
2026-07-02 20:40:55 | INFO     | TradingPipeline | Signal Fusion completed | pressure=0.739
2026-07-02 20:40:55 | INFO     | TradingPipeline | Market Intelligence | regime=BULL volatility=LOW risk=0.0005
2026-07-02 20:40:55 | INFO     | TradingPipeline | Decision | BUY confidence=0.839
2026-07-02 20:40:55 | INFO     | TradingPipeline | Pipeline completed for MSFT | BUY | confidence=0.839 | position=22.16
2026-07-02 20:40:55 | INFO     | ApplicationController | Analysis completed | MSFT | BUY | confidence=0.839
2026-07-02 20:41:08 | INFO     | ApplicationController | User started AI market scan
2026-07-02 20:41:08 | INFO     | AIMarketScanner | Starting market scan (5 symbols)
2026-07-02 20:41:08 | INFO     | AIMarketScanner | Scanning MSFT
2026-07-02 20:41:08 | INFO     | YahooProvider | Downloading history for MSFT (period=6mo interval=1d)
2026-07-02 20:41:08 | INFO     | YahooProvider | 125 candles downloaded for MSFT
2026-07-02 20:41:08 | INFO     | IndicatorBuilder | Building indicators for MSFT
2026-07-02 20:41:08 | INFO     | IndicatorBuilder | Indicators ready for MSFT | RSI=50.41 Trend=0.961 Momentum=41.41 Volatility=0.02458
2026-07-02 20:41:08 | INFO     | TradingPipeline | Starting pipeline for MSFT
2026-07-02 20:41:08 | INFO     | TradingPipeline | Signal Fusion completed | pressure=0.739
2026-07-02 20:41:08 | INFO     | TradingPipeline | Market Intelligence | regime=BULL volatility=LOW risk=0.0005
2026-07-02 20:41:08 | INFO     | TradingPipeline | Decision | BUY confidence=0.839
2026-07-02 20:41:08 | INFO     | TradingPipeline | Pipeline completed for MSFT | BUY | confidence=0.839 | position=22.15
2026-07-02 20:41:08 | INFO     | AIMarketScanner | MSFT complete | BUY | confidence=0.839
2026-07-02 20:41:08 | INFO     | AIMarketScanner | Scanning NVDA
2026-07-02 20:41:08 | INFO     | YahooProvider | Downloading history for NVDA (period=6mo interval=1d)
2026-07-02 20:41:08 | INFO     | YahooProvider | 125 candles downloaded for NVDA
2026-07-02 20:41:08 | INFO     | IndicatorBuilder | Building indicators for NVDA
2026-07-02 20:41:08 | INFO     | IndicatorBuilder | Indicators ready for NVDA | RSI=39.37 Trend=0.923 Momentum=38.46 Volatility=0.02577
2026-07-02 20:41:08 | INFO     | TradingPipeline | Starting pipeline for NVDA
2026-07-02 20:41:08 | INFO     | TradingPipeline | Signal Fusion completed | pressure=0.694
2026-07-02 20:41:08 | INFO     | TradingPipeline | Market Intelligence | regime=BULL volatility=LOW risk=0.0005
